Date,LQD US Equity  (L1),EMB US Equity  (L1),MUB US Equity  (L1),TIP US Equity  (L1),SHY US Equity  (R1),HYG US Equity  (L1)
6/28/2018,49.4364,54.1497,33.959,27.497,6.0964,61.8747
6/27/2018,49.6321,53.8465,34.0819,27.6665,6.0964,62.3303
6/26/2018,49.1232,54.1497,33.8853,27.2484,6.0328,62.6719
6/25/2018,48.6273,54.3663,33.9098,27.0676,6.0328,62.6909
6/22/2018,48.7708,55.0738,33.8607,27.0111,5.9946,63.0705
6/21/2018,48.5881,54.2074,33.9959,26.8303,5.9819,63.0516
6/20/2018,48.7056,53.6443,33.8238,26.6043,5.9183,63.3932
6/19/2018,49.5408,53.3122,33.8853,26.9546,5.9692,63.2224
6/18/2018,49.4625,53.3555,33.7501,26.7512,5.931,63.4502
6/15/2018,49.6191,54.1786,33.7255,26.6495,5.9056,63.4691
6/14/2018,49.8279,53.8609,33.7378,26.6043,5.8547,63.5641
6/13/2018,49.1493,54.0486,33.5534,26.2766,5.8165,63.0895
6/12/2018,49.2928,54.5395,33.664,26.3557,5.8674,63.0326
6/11/2018,49.2798,55.1893,33.6763,26.4574,5.9183,62.8997
6/8/2018,49.4233,55.4925,33.7624,26.4574,5.9565,62.596
6/7/2018,49.6713,55.3481,33.7992,26.6721,5.9819,62.6909
6/6/2018,49.1754,55.7813,33.5903,26.2879,5.8801,62.634
6/5/2018,49.7235,56.1278,33.7992,26.5591,5.9183,62.2353
6/4/2018,49.6191,55.8823,33.5411,26.2766,5.8547,62.0455
6/1/2018,49.9584,55.9401,33.6026,26.5365,5.9438,61.7039
5/31/2018,50.2463,56.4986,33.8352,26.7215,6.0246,61.3366
5/30/2018,50.3113,57.1456,33.7371,26.6427,6.0754,61.4877
5/29/2018,50.8967,57.1887,34.056,26.8792,6.2024,60.9964
5/25/2018,50.1032,57.6201,33.5163,26.1357,5.8975,61.6767
5/24/2018,49.6608,57.2319,33.4182,25.9554,5.8086,61.9413
5/23/2018,49.2445,56.7574,33.1729,25.809,5.7451,61.8468
5/22/2018,48.6071,55.794,32.8785,25.4484,5.6562,61.7145
5/21/2018,48.7632,55.1901,32.8294,25.5048,5.6562,61.6011
5/18/2018,48.6721,55.1613,32.8294,25.4597,5.6562,61.3744
5/17/2018,48.0607,55.3339,32.6331,25.1217,5.6054,61.5444
5/16/2018,48.3469,55.9522,32.6822,25.3583,5.58,61.45
5/15/2018,48.542,55.6215,32.719,25.5386,5.58,61.2421
5/14/2018,49.6739,56.6999,33.087,25.9442,5.6435,62.0357
5/11/2018,49.947,56.9731,33.1238,26.2596,5.6435,61.9979
5/10/2018,49.6869,56.3116,32.9521,26.2596,5.6435,62.0546
5/9/2018,48.9323,54.3561,32.8417,26.0118,5.6435,61.5822
5/8/2018,48.9583,54.6293,32.8417,26.0906,5.6879,61.3177
5/7/2018,49.0104,55.5496,32.8049,26.3159,5.6816,61.5633
5/4/2018,49.1795,56.1966,32.7803,26.2934,5.6816,61.4122
5/3/2018,48.9713,56.0672,32.7067,26.2596,5.7197,61.2988
5/2/2018,48.9453,56.2397,32.4124,26.1019,5.6435,61.3177
5/1/2018,49.0624,57.4907,32.2161,25.9442,5.6054,61.3744
4/30/2018,49.4653,57.7764,32.1819,26.3041,5.6522,61.2564
4/27/2018,49.595,58.2778,32.1084,26.2032,5.6902,61.3693
4/26/2018,49.2577,58.1488,31.9737,25.7994,5.6585,61.4445
4/25/2018,48.8167,58.0199,31.7167,25.4741,5.6395,60.8801
4/24/2018,49.2837,58.5929,32.1451,25.6648,5.6522,60.8612
4/23/2018,49.7247,58.8364,32.3043,26.0125,5.6268,61.1811
4/20/2018,49.7896,59.2232,32.4267,26.0461,5.6395,61.6139
4/19/2018,50.3993,59.9252,32.5002,26.4836,5.6776,62.009
4/18/2018,50.9701,60.4838,32.7573,26.6854,5.6776,62.5171
4/17/2018,51.7484,60.4838,32.8797,26.9434,5.7664,62.6864
4/16/2018,51.7354,60.8276,32.7083,26.7527,5.7664,62.6112
4/13/2018,51.7225,61.0282,32.794,26.8649,5.7791,62.3665
4/12/2018,51.6706,60.8993,32.696,26.6854,5.8044,62.2725
4/11/2018,52.0857,60.8993,32.8797,26.8873,5.8679,61.6892
4/10/2018,51.9819,60.842,32.8185,26.5172,5.8679,61.6327
4/9/2018,51.943,61.0998,32.8307,26.5733,5.9186,61.0494
4/6/2018,51.8652,61.2574,32.8797,26.5957,5.9313,60.4473
4/5/2018,51.4111,61.0139,32.6104,26.091,5.8425,60.8048
4/4/2018,51.3592,61.0712,32.8307,26.4499,5.8171,60.6731
4/3/2018,51.3592,60.8849,32.8185,26.5172,5.8806,60.3156
4/2/2018,51.7614,60.7703,33.0144,26.5957,5.9313,59.864
3/29/2018,51.8431,61.0791,33.1024,26.47,5.9003,60.4835
3/28/2018,51.1575,60.2224,33.078,26.2015,5.8623,59.94
3/27/2018,50.7565,59.8084,32.8825,26.2015,5.8497,60.015
3/26/2018,50.2133,59.5657,32.577,25.7205,5.7736,60.1649
3/23/2018,49.6829,58.6091,32.6747,25.9442,5.8243,59.1342
3/22/2018,50.1615,59.2516,32.7969,25.8771,5.799,59.5465
3/21/2018,49.9028,59.7227,32.4304,25.5079,5.7483,60.5022
3/20/2018,49.9934,59.2373,32.4304,25.2394,5.6722,60.446
3/19/2018,50.5237,59.5657,32.5525,25.4296,5.7102,60.1274
3/16/2018,51.0282,60.2367,32.5892,25.5079,5.7102,60.7833
3/15/2018,50.86,60.251,32.4792,25.7205,5.7609,60.446
3/14/2018,50.7048,60.3795,32.5037,25.7093,5.7483,60.3335
3/13/2018,50.3685,60.0225,32.4304,25.4967,5.7609,60.5209
3/12/2018,50.3555,60.2795,32.2471,25.396,5.7356,61.0269
3/9/2018,50.1615,60.3081,32.3693,25.3065,5.6849,61.2892
3/8/2018,50.6919,59.994,32.6503,25.4967,5.7356,60.7083
3/7/2018,50.3944,59.9797,32.5648,25.3737,5.7102,60.5209
3/6/2018,50.4461,60.151,32.3693,25.3737,5.7102,60.9145
3/5/2018,50.3167,59.9083,32.467,25.4072,5.7293,60.6896
3/2/2018,50.3685,60.151,32.4304,25.4855,5.7356,60.6896
3/1/2018,50.8471,59.6085,32.8214,25.5862,5.7863,59.7901
